check,error,passed,kind
lora_fold_gradB[o_proj],1.0408340855860843e-17,True,real_activation_fp64
lora_fold_sgd[o_proj],4.85722573273506e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],2.220446049250313e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],1.609823385706477e-15,True,real_activation_fp64
lora_fold_gradB[gate_proj],4.336808689942018e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],2.0122792321330962e-16,True,real_activation_fp64
lora_fold_forward[up_proj],1.5543122344752192e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],9.020562075079397e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],1.6534083130403943e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_forward[down_proj],5.551115123125783e-16,True,real_activation_fp64
lora_fold_gradA[down_proj],3.2526065174565133e-18,True,real_activation_fp64
lora_fold_gradB[down_proj],3.415236843329339e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],6.938893903907228e-17,True,real_activation_fp64
rmsnorm_core_equivariance,3.552713678800501e-15,True,real_activation_fp64
rmsnorm_core_backward_equivariance,8.881784197001252e-16,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,11.70752625753488,True,real_activation_neg
swiglu_dense_orth_NEG,4.616001636447498,True,real_activation_neg
rope_paired_qk_score_preserve,5.684341886080802e-14,True,real_activation_fp64
rope_dense_commute_NEG,7.162593964492992,True,real_activation_neg
lora_fold_forward[q_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],1.6588293239028218e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],1.214306433183765e-17,True,real_activation_fp64
lora_fold_sgd[q_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_forward[k_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],8.521829075736065e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_sgd[k_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[v_proj],8.881784197001252e-16,True,real_activation_fp64
lora_fold_gradA[v_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],9.540979117872439e-18,True,real_activation_fp64
lora_fold_sgd[o_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],1.1379786002407855e-15,True,real_activation_fp64
lora_fold_gradB[gate_proj],4.7704895589362195e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],1.0234868508263162e-16,True,real_activation_fp64
lora_fold_forward[up_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],9.71445146547012e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],2.0599841277224584e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[down_proj],5.551115123125783e-16,True,real_activation_fp64
lora_fold_gradA[down_proj],4.7704895589362195e-18,True,real_activation_fp64
lora_fold_gradB[down_proj],4.445228907190568e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],5.551115123125783e-17,True,real_activation_fp64
rmsnorm_core_equivariance,3.552713678800501e-15,True,real_activation_fp64
rmsnorm_core_backward_equivariance,1.7763568394002505e-15,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,8.340318751305677,True,real_activation_neg
swiglu_dense_orth_NEG,5.496988555133529,True,real_activation_neg
rope_paired_qk_score_preserve,7.105427357601002e-14,True,real_activation_fp64
rope_dense_commute_NEG,6.12712499517292,True,real_activation_neg
lora_fold_forward[q_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],2.7755575615628914e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],1.3010426069826053e-17,True,real_activation_fp64
lora_fold_sgd[q_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[k_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],9.367506770274758e-17,True,real_activation_fp64
lora_fold_sgd[k_proj],3.469446951953614e-17,True,real_activation_fp64
lora_fold_forward[v_proj],8.881784197001252e-16,True,real_activation_fp64
