optimizer,step,group,metric,n,finite_n,nan_or_inf_fraction,max,median,p95,worst_layer
adamw,10,gate_up,O1A_dW_cos,144,144,0.0,0.9957475044979407,0.9861510713896164,0.9950571617588158,16
adamw,10,gate_up,O1C_dW_cos,144,144,0.0,1.0000000000000715,0.9999999999999993,1.0000000000000453,2
adamw,10,gate_up,O1A_optstate_relerr,144,144,0.0,288898.2086136537,1.246442955212586,110572.36339026612,22
adamw,10,gate_up,O1C_optstate_relerr,144,144,0.0,7.60670133915492e-14,1.136269650206773e-15,1.3925436264565403e-14,0
adamw,10,gate_up,loss_absdiff_O1C,144,144,0.0,6.661338147750939e-16,0.0,4.440892098500626e-16,2
adamw,50,o_down,O1A_A_update_relerr,144,144,0.0,3.8036310508351997e-13,2.459763106322347e-15,6.724448482167772e-14,10
adamw,50,o_down,O1C_A_update_relerr,144,144,0.0,3.8036310508351997e-13,2.459763106322347e-15,6.724448482167772e-14,10
adamw,50,o_down,O1A_B_update_relerr,144,144,0.0,1.4413562193490699e-12,3.969109536759612e-15,4.1174878133677146e-14,10
adamw,50,o_down,O1C_B_update_relerr,144,144,0.0,1.4413562193490699e-12,3.969109536759612e-15,4.1174878133677146e-14,10
adamw,50,o_down,O1A_dW_cos,144,144,0.0,1.0000000000000735,1.0000000000000013,1.0000000000000413,0
adamw,50,o_down,O1C_dW_cos,144,144,0.0,1.0000000000000735,1.0000000000000013,1.0000000000000413,0
adamw,50,o_down,O1A_optstate_relerr,144,144,0.0,5.432699859225929e-12,1.9783739066853934e-13,9.425102189411511e-13,10
adamw,50,o_down,O1C_optstate_relerr,144,144,0.0,5.432699859225929e-12,1.9783739066853934e-13,9.425102189411511e-13,10
adamw,50,o_down,loss_absdiff_O1C,144,144,0.0,2.4924506902834764e-13,7.632783294297951e-17,3.802513859341161e-15,10
adamw,50,qkv,O1A_A_update_relerr,216,216,0.0,0.9197594885269483,0.391830421122064,0.5849398505375746,0
adamw,50,qkv,O1C_A_update_relerr,216,216,0.0,5.3531893360969744e-14,1.3318272285561194e-15,1.1281509077974234e-14,21
adamw,50,qkv,O1A_B_update_relerr,216,216,0.0,0.7338760713259667,0.2507142737322905,0.4831340748599768,0
adamw,50,qkv,O1C_B_update_relerr,216,216,0.0,5.5728857407686935e-14,1.4505265412879507e-15,1.2054160871301261e-14,4
adamw,50,qkv,O1A_dW_cos,216,216,0.0,0.9780699618968505,0.9042721923158941,0.9615341868246983,7
adamw,50,qkv,O1C_dW_cos,216,216,0.0,1.0000000000000306,0.9999999999999999,1.0000000000000144,3
adamw,50,qkv,O1A_optstate_relerr,216,216,0.0,208.999678096072,1.09458319252805,1.9887305884313724,0
adamw,50,qkv,O1C_optstate_relerr,216,216,0.0,5.1042976125172905e-14,1.318987612414903e-15,1.3063630924761125e-14,4
adamw,50,qkv,loss_absdiff_O1C,216,216,0.0,1.0297318553398327e-14,3.469446951953614e-17,3.3306690738754696e-16,14
adamw,50,gate_up,O1A_A_update_relerr,144,144,0.0,0.7062679472574178,0.38090379122100293,0.6982998417032844,5
adamw,50,gate_up,O1C_A_update_relerr,144,144,0.0,6.244500264745508e-14,2.4838839179557263e-15,1.435949192533092e-14,3
adamw,50,gate_up,O1A_B_update_relerr,144,144,0.0,1.0941606884169126,0.32293635296076073,1.077750082576003,8
adamw,50,gate_up,O1C_B_update_relerr,144,144,0.0,5.781245242468012e-14,3.426252446622191e-15,1.2972608649748018e-14,3
adamw,50,gate_up,O1A_dW_cos,144,144,0.0,0.9813990634872272,0.9273340225992128,0.9741219345799341,16
adamw,50,gate_up,O1C_dW_cos,144,144,0.0,1.0000000000000897,1.0000000000000049,1.0000000000000586,6
adamw,50,gate_up,O1A_optstate_relerr,144,144,0.0,402428.9718092537,2.9236463601788945,67187.7971674734,22
adamw,50,gate_up,O1C_optstate_relerr,144,144,0.0,6.211377146504352e-14,2.5258953750581378e-15,1.550018254261872e-14,3
adamw,50,gate_up,loss_absdiff_O1C,144,144,0.0,9.756084828893563e-15,6.938893903907228e-17,7.632783294297951e-16,3
